Rank,Country,US$,#,"Total
Cases","New
Cases","Total
Deaths","New
Deaths","Total
Recovered","Active
Cases","Serious,
Critical","Tot Cases/
1M pop","Deaths/
1M pop","Total
Tests","Tests/
1M pop",Population,Date,Doses_admin,People_partially_vaccinated,People_fully_vaccinated,Report_Date_String,UID,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2019,2020,2021,Estimates Start After,FIPS,Admin2,Province_State,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
25,Italy,"34,997",8.0,"3,769,814",.,"114,254",.,"3,122,555","533,005","3,585","62,422","1,892","53,054,866","878,500","60,392,563",2021-04-16,14643764.0,10311621.0,4332143.0,2021/04/16,380.0,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).","2,005.14","1,884.94","2,106.29",2020.0,.,.,Piemonte,2021-04-17 04:20:40,45.0732745,7.680687483,332172,10899,297901.0,23372.0,"Piemonte, Italy",7624.909156768216,3.281131462013656
25,Italy,"34,997",8.0,"3,769,814",.,"114,254",.,"3,122,555","533,005","3,585","62,422","1,892","53,054,866","878,500","60,392,563",2021-04-16,14643764.0,10311621.0,4332143.0,2021/04/16,380.0,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).","2,005.14","1,884.94","2,106.29",2020.0,.,.,Puglia,2021-04-17 04:20:40,41.12559576,16.86736689,217428,5410,160424.0,51594.0,"Puglia, Italy",5396.503843458996,2.4881799952168078
25,Italy,"34,997",8.0,"3,769,814",.,"114,254",.,"3,122,555","533,005","3,585","62,422","1,892","53,054,866","878,500","60,392,563",2021-04-16,14643764.0,10311621.0,4332143.0,2021/04/16,380.0,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).","2,005.14","1,884.94","2,106.29",2020.0,.,.,Sardegna,2021-04-17 04:20:40,39.21531192,9.110616306,50872,1307,31824.0,17741.0,"Sardegna, Italy",3102.725008858917,2.5691932693819783
25,Italy,"34,997",8.0,"3,769,814",.,"114,254",.,"3,122,555","533,005","3,585","62,422","1,892","53,054,866","878,500","60,392,563",2021-04-16,14643764.0,10311621.0,4332143.0,2021/04/16,380.0,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).","2,005.14","1,884.94","2,106.29",2020.0,.,.,Sicilia,2021-04-17 04:20:40,38.11569725,13.362356699999998,193343,5128,163340.0,24875.0,"Sicilia, Italy",3866.944299385727,2.652281179044496
25,Italy,"34,997",8.0,"3,769,814",.,"114,254",.,"3,122,555","533,005","3,585","62,422","1,892","53,054,866","878,500","60,392,563",2021-04-16,14643764.0,10311621.0,4332143.0,2021/04/16,380.0,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).","2,005.14","1,884.94","2,106.29",2020.0,.,.,Toscana,2021-04-17 04:20:40,43.76923077,11.25588885,214470,5804,182110.0,26556.0,"Toscana, Italy",5750.4194103400305,2.7062059961766214
25,Italy,"34,997",8.0,"3,769,814",.,"114,254",.,"3,122,555","533,005","3,585","62,422","1,892","53,054,866","878,500","60,392,563",2021-04-16,14643764.0,10311621.0,4332143.0,2021/04/16,380.0,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).","2,005.14","1,884.94","2,106.29",2020.0,.,.,Umbria,2021-04-17 04:20:40,43.10675841,12.38824698,52979,1315,48089.0,3575.0,"Umbria, Italy",6006.587189560269,2.4821155552199934
25,Italy,"34,997",8.0,"3,769,814",.,"114,254",.,"3,122,555","533,005","3,585","62,422","1,892","53,054,866","878,500","60,392,563",2021-04-16,14643764.0,10311621.0,4332143.0,2021/04/16,380.0,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).","2,005.14","1,884.94","2,106.29",2020.0,.,.,Valle d'Aosta,2021-04-17 04:20:40,45.73750286,7.320149366,10299,437,8816.0,1046.0,"Valle d'Aosta, Italy",8195.534193815352,4.243130401009807
25,Italy,"34,997",8.0,"3,769,814",.,"114,254",.,"3,122,555","533,005","3,585","62,422","1,892","53,054,866","878,500","60,392,563",2021-04-16,14643764.0,10311621.0,4332143.0,2021/04/16,380.0,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).","2,005.14","1,884.94","2,106.29",2020.0,.,.,Veneto,2021-04-17 04:20:40,45.43490485,12.33845213,399749,11064,361206.0,27479.0,"Veneto, Italy",8148.408003988704,2.7677367548136456
28,Malta,"31,576",115.0,"29,614",.,402,.,"28,654",558,.,"66,931",909,"832,727","1,882,048","442,458",2021-04-15,264658.0,183987.0,80671.0,2021/04/15,470.0,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",15.218,14.559,16.476,2020.0,.,.,.,2021-04-17 04:20:40,35.9375,14.3754,29860,405,28872.0,583.0,Malta,6762.709522828108,1.3563295378432685
29,Spain,"30,996",9.0,"3,347,512",.,"76,328",.,"3,095,922","175,262","2,050","71,576","1,632","43,458,915","929,227","46,768,878",2021-04-16,12330755.0,9002054.0,3328701.0,2021/04/16,724.0,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).","1,393.64","1,278.21","1,461.55",2020.0,.,.,Andalusia,2021-04-17 04:20:40,37.5443,-4.7278,530392,9415,10671.0,510306.0,"Andalusia, Spain",6293.65741886144,1.7751021885699634
29,Spain,"30,996",9.0,"3,347,512",.,"76,328",.,"3,095,922","175,262","2,050","71,576","1,632","43,458,915","929,227","46,768,878",2021-04-16,12330755.0,9002054.0,3328701.0,2021/04/16,724.0,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).","1,393.64","1,278.21","1,461.55",2020.0,.,.,Aragon,2021-04-17 04:20:40,41.5976,-0.9057,114511,3393,3772.0,107346.0,"Aragon, Spain",8671.226258645784,2.963034118992935
29,Spain,"30,996",9.0,"3,347,512",.,"76,328",.,"3,095,922","175,262","2,050","71,576","1,632","43,458,915","929,227","46,768,878",2021-04-16,12330755.0,9002054.0,3328701.0,2021/04/16,724.0,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).","1,393.64","1,278.21","1,461.55",2020.0,.,.,Asturias,2021-04-17 04:20:40,43.3614,-5.8593,49243,1925,1063.0,46255.0,"Asturias, Spain",4817.331161557613,3.9091850618362005
29,Spain,"30,996",9.0,"3,347,512",.,"76,328",.,"3,095,922","175,262","2,050","71,576","1,632","43,458,915","929,227","46,768,878",2021-04-16,12330755.0,9002054.0,3328701.0,2021/04/16,724.0,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).","1,393.64","1,278.21","1,461.55",2020.0,.,.,Baleares,2021-04-17 04:20:40,39.710358,2.995148,58533,780,1533.0,56220.0,"Baleares, Spain",4926.107959805423,1.332581620624263
29,Spain,"30,996",9.0,"3,347,512",.,"76,328",.,"3,095,922","175,262","2,050","71,576","1,632","43,458,915","929,227","46,768,878",2021-04-16,12330755.0,9002054.0,3328701.0,2021/04/16,724.0,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).","1,393.64","1,278.21","1,461.55",2020.0,.,.,C. Valenciana,2021-04-17 04:20:40,39.484,-0.7533,388216,7204,9970.0,371042.0,"C. Valenciana, Spain",7803.385307526541,1.85566797865106
29,Spain,"30,996",9.0,"3,347,512",.,"76,328",.,"3,095,922","175,262","2,050","71,576","1,632","43,458,915","929,227","46,768,878",2021-04-16,12330755.0,9002054.0,3328701.0,2021/04/16,724.0,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).","1,393.64","1,278.21","1,461.55",2020.0,.,.,Canarias,2021-04-17 04:20:40,28.2916,-16.6291,50321,708,1537.0,48076.0,"Canarias, Spain",2280.165716540977,1.4069672701257925
29,Spain,"30,996",9.0,"3,347,512",.,"76,328",.,"3,095,922","175,262","2,050","71,576","1,632","43,458,915","929,227","46,768,878",2021-04-16,12330755.0,9002054.0,3328701.0,2021/04/16,724.0,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).","1,393.64","1,278.21","1,461.55",2020.0,.,.,Cantabria,2021-04-17 04:20:40,43.1828,-3.9878,27269,551,2287.0,24431.0,"Cantabria, Spain",4688.287104932424,2.0206094832960506
29,Spain,"30,996",9.0,"3,347,512",.,"76,328",.,"3,095,922","175,262","2,050","71,576","1,632","43,458,915","929,227","46,768,878",2021-04-16,12330755.0,9002054.0,3328701.0,2021/04/16,724.0,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).","1,393.64","1,278.21","1,461.55",2020.0,.,.,Castilla - La Mancha,2021-04-17 04:20:40,39.2796,-3.0977,180494,5809,6392.0,168293.0,"Castilla - La Mancha, Spain",8870.020153552281,3.218389530953937
29,Spain,"30,996",9.0,"3,347,512",.,"76,328",.,"3,095,922","175,262","2,050","71,576","1,632","43,458,915","929,227","46,768,878",2021-04-16,12330755.0,9002054.0,3328701.0,2021/04/16,724.0,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).","1,393.64","1,278.21","1,461.55",2020.0,.,.,Castilla y Leon,2021-04-17 04:20:40,41.8357,-4.3976,218384,6701,8716.0,202967.0,"Castilla y Leon, Spain",9070.10868730046,3.0684482379661517
29,Spain,"30,996",9.0,"3,347,512",.,"76,328",.,"3,095,922","175,262","2,050","71,576","1,632","43,458,915","929,227","46,768,878",2021-04-16,12330755.0,9002054.0,3328701.0,2021/04/16,724.0,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).","1,393.64","1,278.21","1,461.55",2020.0,.,.,Catalonia,2021-04-17 04:20:40,41.5912,1.5209,559460,13823,26203.0,519434.0,"Catalonia, Spain",7393.974781505309,2.470775390555178
29,Spain,"30,996",9.0,"3,347,512",.,"76,328",.,"3,095,922","175,262","2,050","71,576","1,632","43,458,915","929,227","46,768,878",2021-04-16,12330755.0,9002054.0,3328701.0,2021/04/16,724.0,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).","1,393.64","1,278.21","1,461.55",2020.0,.,.,Ceuta,2021-04-17 04:20:40,35.8894,-5.3213,5589,100,163.0,5326.0,"Ceuta, Spain",6588.548727439908,1.7892288423689389
29,Spain,"30,996",9.0,"3,347,512",.,"76,328",.,"3,095,922","175,262","2,050","71,576","1,632","43,458,915","929,227","46,768,878",2021-04-16,12330755.0,9002054.0,3328701.0,2021/04/16,724.0,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).","1,393.64","1,278.21","1,461.55",2020.0,.,.,Extremadura,2021-04-17 04:20:40,39.4937,-6.0679,72806,1777,2652.0,68377.0,"Extremadura, Spain",6833.5235549415065,2.4407329066285746
29,Spain,"30,996",9.0,"3,347,512",.,"76,328",.,"3,095,922","175,262","2,050","71,576","1,632","43,458,915","929,227","46,768,878",2021-04-16,12330755.0,9002054.0,3328701.0,2021/04/16,724.0,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).","1,393.64","1,278.21","1,461.55",2020.0,.,.,Galicia,2021-04-17 04:20:40,42.5751,-8.1339,119178,2358,9204.0,107616.0,"Galicia, Spain",4413.279164403149,1.9785530886573024
29,Spain,"30,996",9.0,"3,347,512",.,"76,328",.,"3,095,922","175,262","2,050","71,576","1,632","43,458,915","929,227","46,768,878",2021-04-16,12330755.0,9002054.0,3328701.0,2021/04/16,724.0,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).","1,393.64","1,278.21","1,461.55",2020.0,.,.,La Rioja,2021-04-17 04:20:40,42.2871,-2.5396,28746,753,3107.0,24886.0,"La Rioja, Spain",9167.301823191558,2.6194948862450427
29,Spain,"30,996",9.0,"3,347,512",.,"76,328",.,"3,095,922","175,262","2,050","71,576","1,632","43,458,915","929,227","46,768,878",2021-04-16,12330755.0,9002054.0,3328701.0,2021/04/16,724.0,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).","1,393.64","1,278.21","1,461.55",2020.0,.,.,Madrid,2021-04-17 04:20:40,40.4168,-3.7038,654322,14803,40736.0,598783.0,"Madrid, Spain",9851.80035861576,2.2623417827919585
29,Spain,"30,996",9.0,"3,347,512",.,"76,328",.,"3,095,922","175,262","2,050","71,576","1,632","43,458,915","929,227","46,768,878",2021-04-16,12330755.0,9002054.0,3328701.0,2021/04/16,724.0,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).","1,393.64","1,278.21","1,461.55",2020.0,.,.,Melilla,2021-04-17 04:20:40,35.2923,-2.9381,8384,86,125.0,8173.0,"Melilla, Spain",9899.75085312142,1.0257633587786261
29,Spain,"30,996",9.0,"3,347,512",.,"76,328",.,"3,095,922","175,262","2,050","71,576","1,632","43,458,915","929,227","46,768,878",2021-04-16,12330755.0,9002054.0,3328701.0,2021/04/16,724.0,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).","1,393.64","1,278.21","1,461.55",2020.0,.,.,Murcia,2021-04-17 04:20:40,37.9922,-1.1307,109743,1583,2180.0,105980.0,"Murcia, Spain",7376.872315840348,1.4424610225709156
29,Spain,"30,996",9.0,"3,347,512",.,"76,328",.,"3,095,922","175,262","2,050","71,576","1,632","43,458,915","929,227","46,768,878",2021-04-16,12330755.0,9002054.0,3328701.0,2021/04/16,724.0,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).","1,393.64","1,278.21","1,461.55",2020.0,.,.,Navarra,2021-04-17 04:20:40,42.6954,-1.6761,57581,1137,3905.0,52539.0,"Navarra, Spain",8859.351392269511,1.97460968027648
29,Spain,"30,996",9.0,"3,347,512",.,"76,328",.,"3,095,922","175,262","2,050","71,576","1,632","43,458,915","929,227","46,768,878",2021-04-16,12330755.0,9002054.0,3328701.0,2021/04/16,724.0,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).","1,393.64","1,278.21","1,461.55",2020.0,.,.,Pais Vasco,2021-04-17 04:20:40,42.9896,-2.6189,174111,4075,16160.0,153876.0,"Pais Vasco, Spain",7994.517604275717,2.340460970300555
29,Spain,"30,996",9.0,"3,347,512",.,"76,328",.,"3,095,922","175,262","2,050","71,576","1,632","43,458,915","929,227","46,768,878",2021-04-16,12330755.0,9002054.0,3328701.0,2021/04/16,724.0,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).","1,393.64","1,278.21","1,461.55",2020.0,.,.,Unknown,2021-04-17 04:20:40,.,.,0,0,0.0,0.0,"Unknown, Spain",.,.
31,Cyprus,"29,551",104.0,"51,505",.,272,.,"39,061","12,172",57,"42,419",224,"3,943,321","3,247,710","1,214,185",2021-04-16,202441.0,145357.0,57084.0,2021/04/16,196.0,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",24.953,23.967,26.479,2020.0,.,.,.,2021-04-17 04:20:40,35.1264,33.4299,54621,284,39061.0,15276.0,Cyprus,4523.999035913865,0.5199465407077863
32,Slovenia,"28,104",65.0,"226,499",.,"4,119",.,"208,561","13,819",139,"108,938","1,981","1,103,860","530,916","2,079,160",2021-04-16,510596.0,368446.0,142150.0,2021/04/16,705.0,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",54.18,52.838,59.132,2020.0,.,.,.,2021-04-17 04:20:40,46.1512,14.9955,230826,4147,213980.0,12699.0,Slovenia,11103.104863458735,1.7965913718558568
33,Estonia,"26,470",85.0,"114,174",.,"1,028",.,"94,807","18,339",72,"86,024",775,"1,195,859","901,019","1,327,229",2021-04-16,358671.0,277745.0,80926.0,2021/04/16,233.0,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",31.475,31.005,35.187,2020.0,.,.,.,2021-04-17 04:20:40,58.5953,25.0136,116678,1070,100176.0,15432.0,Estonia,8795.670538144752,0.9170537719192992
35,Kuwait,"25,290",59.0,"247,094",.,"1,407",.,"231,240","14,447",225,"57,205",326,"2,159,422","499,927","4,319,474",2021-03-29,604861.0,500000.0,38000.0,2021/03/29,414.0,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",134.624,107.936,126.93,2019.0,.,.,.,2021-04-17 04:20:40,29.311659999999996,47.481766,254472,1436,237667.0,15369.0,Kuwait,5958.7459545732045,0.5643056996447546
36,Portugal,"25,065",30.0,"827,494",.,"16,916",.,"784,618","25,960",113,"81,338","1,663","9,363,361","920,365","10,173,535",2021-04-16,2429486.0,1772322.0,657164.0,2021/04/16,620.0,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",239.537,231.348,257.391,2020.0,.,.,.,2021-04-17 04:20:40,39.3999,-8.2245,829911,16937,787607.0,25367.0,Portugal,8139.0099764561255,2.0408212446876832
37,Bahrain,"24,294",78.0,"156,462",.,557,.,"144,917","10,988",85,"89,562",319,"3,779,766","2,163,606","1,746,975",2021-04-16,1042463.0,586279.0,456184.0,2021/04/16,48.0,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",38.474,33.904,37.503,2019.0,.,.,.,2021-04-17 04:20:40,26.0275,50.55,162089,581,150179.0,11329.0,Bahrain,9525.776879529238,0.3584450517925337
38,Saudi Arabia,"22,700",42.0,"398,435",.,"6,754",.,"383,321","8,360",915,"11,308",192,"15,797,442","448,364","35,233,544",2021-04-16,6800711.0,0.0,0.0,2021/04/16,682.0,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",792.967,701.467,804.921,2019.0,.,.,.,2021-04-17 04:20:40,23.885942,45.079162,403106,6801,387020.0,9285.0,Saudi Arabia,1157.889182491563,1.6871492857957957
39,Lithuania,"22,245",66.0,"226,173",.,"3,687",.,"205,897","16,589",150,"83,999","1,369","2,490,755","925,044","2,692,579",2021-04-16,771066.0,561712.0,209354.0,2021/04/16,440.0,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",54.633,55.688,62.198,2020.0,.,.,.,2021-04-17 04:20:40,55.1694,23.8813,231601,3739,209538.0,18324.0,Lithuania,8507.576890200202,1.614414445533482
41,Latvia,"19,824",87.0,"107,608",.,"1,986",.,"99,162","6,460",94,"57,547","1,062","2,026,131","1,083,550","1,869,901",2021-04-16,201809.0,174005.0,27804.0,2021/04/16,428.0,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",34.059,33.478,37.72,2020.0,.,.,.,2021-04-17 04:20:40,56.8796,24.6032,110343,2042,101088.0,7213.0,Latvia,5850.009702036154,1.8505931504490545
42,Greece,"19,673",49.0,"295,480",.,"8,885",.,"251,244","35,351",780,"28,457",856,"7,088,799","682,709","10,383,345",2021-04-16,2440210.0,1671324.0,768886.0,2021/04/16,300.0,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",205.349,189.259,209.857,2020.0,.,.,.,2021-04-17 04:20:40,39.0742,21.8243,311033,9330,93764.0,207939.0,Greece,2984.0864330000722,2.999681705799706
43,Hungary,"18,075",32.0,"720,164",.,"23,417",.,"426,394","270,353","1,290","74,696","2,429","4,934,786","511,842","9,641,234",2021-04-14,4416581.0,3090994.0,1325587.0,2021/04/14,348.0,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",163.459,154.562,176.543,2020.0,.,.,.,2021-04-17 04:20:40,47.1625,19.5033,742198,24762,445920.0,271516.0,Hungary,7682.930742674955,3.336306484253528
44,Poland,"16,930",11.0,"2,574,631",.,"58,421",.,"2,171,301","344,909","3,459","68,086","1,545","12,912,603","341,474","37,814,322",2021-04-15,8484815.0,6236689.0,2248126.0,2021/04/15,616.0,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",595.772,594.18,642.121,2020.0,.,.,.,2021-04-17 04:20:40,51.9194,19.1451,2660088,61208,2255232.0,343648.0,Poland,7028.604018775262,2.3009765090478207
45,Croatia,"16,247",50.0,"292,516",.,"6,308",.,"272,967","13,241",182,"71,598","1,544","1,639,110","401,201","4,085,513",2021-04-14,617516.0,500233.0,117283.0,2021/04/14,191.0,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",60.759,56.925,65.217,2019.0,.,.,.,2021-04-17 04:20:40,45.1,15.2,303598,6486,281059.0,16053.0,Croatia,7395.327174742307,2.1363777099980896
46,Oman,"16,212",75.0,"171,549",.,"1,776",.,"152,784","16,989",229,"32,948",341,"1,550,000","297,692","5,206,730",2021-04-14,192808.0,173789.0,19019.0,2021/04/14,512.0,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",76.331,63.192,74.115,2019.0,.,.,.,2021-04-17 04:20:40,21.512583,55.92325500000001,176668,1821,156845.0,18002.0,Oman,3459.5863958601203,1.0307469377589602
47,Barbados,"16,036",172.0,"3,730",.,44,.,"3,607",79,.,"12,967",153,"146,135","508,032","287,649",2021-04-15,66900.0,66900.0,0.0,2021/04/15,52.0,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",5.209,4.365,4.628,2019.0,.,.,.,2021-04-17 04:20:40,13.1939,-59.5432,3765,44,3648.0,73.0,Barbados,1310.1530773808074,1.1686586985391767
48,Trinidad and Tobago,"15,752",154.0,"8,404",.,146,.,"7,740",518,14,"5,990",104,"115,779","82,522","1,403,013",2021-04-14,11686.0,11686.0,0.0,2021/04/14,780.0,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",23.208,21.53,22.161,2019.0,.,.,.,2021-04-17 04:20:40,10.6918,-61.2225,8678,150,7843.0,685.0,Trinidad and Tobago,620.0825871691923,1.7285088730122151
49,Uruguay,"15,653",80.0,"144,642",.,"1,462",.,"110,277","32,903",485,"41,527",420,"1,532,512","439,986","3,483,093",2021-04-16,1310591.0,1025979.0,284612.0,2021/04/16,858.0,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",62.212,55.711,55.459,2019.0,.,.,.,2021-04-17 04:20:40,-32.5228,-55.7658,159569,1788,126119.0,31662.0,Uruguay,4593.596445546816,1.1205183964303844
50,Chile,"15,617",22.0,"1,076,499",.,"24,346",.,"1,005,860","46,293","3,155","55,941","1,265","11,897,931","618,281","19,243,575",2021-04-15,12934282.0,7664226.0,5270056.0,2021/04/15,152.0,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",279.27,252.756,307.938,2020.0,.,.,Antofagasta,2021-04-17 04:20:40,-23.6509,-70.3975,46350,921,43917.0,1512.0,"Antofagasta, Chile",7629.2026454486495,1.9870550161812297
50,Chile,"15,617",22.0,"1,076,499",.,"24,346",.,"1,005,860","46,293","3,155","55,941","1,265","11,897,931","618,281","19,243,575",2021-04-15,12934282.0,7664226.0,5270056.0,2021/04/15,152.0,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",279.27,252.756,307.938,2020.0,.,.,Araucania,2021-04-17 04:20:40,-38.9489,-72.3311,63310,780,59240.0,3290.0,"Araucania, Chile",6613.9169097306385,1.2320328542094456
50,Chile,"15,617",22.0,"1,076,499",.,"24,346",.,"1,005,860","46,293","3,155","55,941","1,265","11,897,931","618,281","19,243,575",2021-04-15,12934282.0,7664226.0,5270056.0,2021/04/15,152.0,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",279.27,252.756,307.938,2020.0,.,.,Arica y Parinacota,2021-04-17 04:20:40,-18.594,-69.4785,18794,369,17724.0,701.0,"Arica y Parinacota, Chile",8313.427818178601,1.9633925720974776
50,Chile,"15,617",22.0,"1,076,499",.,"24,346",.,"1,005,860","46,293","3,155","55,941","1,265","11,897,931","618,281","19,243,575",2021-04-15,12934282.0,7664226.0,5270056.0,2021/04/15,152.0,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",279.27,252.756,307.938,2020.0,.,.,Atacama,2021-04-17 04:20:40,-27.5661,-70.0503,16150,191,14993.0,966.0,"Atacama, Chile",5589.318345423335,1.1826625386996903
50,Chile,"15,617",22.0,"1,076,499",.,"24,346",.,"1,005,860","46,293","3,155","55,941","1,265","11,897,931","618,281","19,243,575",2021-04-15,12934282.0,7664226.0,5270056.0,2021/04/15,152.0,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",279.27,252.756,307.938,2020.0,.,.,Aysen,2021-04-17 04:20:40,-45.9864,-73.7669,3896,30,3704.0,162.0,"Aysen, Chile",3776.730840070572,0.7700205338809035
50,Chile,"15,617",22.0,"1,076,499",.,"24,346",.,"1,005,860","46,293","3,155","55,941","1,265","11,897,931","618,281","19,243,575",2021-04-15,12934282.0,7664226.0,5270056.0,2021/04/15,152.0,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",279.27,252.756,307.938,2020.0,.,.,Biobio,2021-04-17 04:20:40,-37.4464,-72.1416,107307,1767,100696.0,4844.0,"Biobio, Chile",6892.7707709057995,1.6466772903911209
50,Chile,"15,617",22.0,"1,076,499",.,"24,346",.,"1,005,860","46,293","3,155","55,941","1,265","11,897,931","618,281","19,243,575",2021-04-15,12934282.0,7664226.0,5270056.0,2021/04/15,152.0,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",279.27,252.756,307.938,2020.0,.,.,Coquimbo,2021-04-17 04:20:40,-29.959,-71.3389,29770,572,28035.0,1163.0,"Coquimbo, Chile",3929.5868719854907,1.921397379912664
50,Chile,"15,617",22.0,"1,076,499",.,"24,346",.,"1,005,860","46,293","3,155","55,941","1,265","11,897,931","618,281","19,243,575",2021-04-15,12934282.0,7664226.0,5270056.0,2021/04/15,152.0,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",279.27,252.756,307.938,2020.0,.,.,Los Lagos,2021-04-17 04:20:40,-41.9198,-72.1416,65501,861,62773.0,1867.0,"Los Lagos, Chile",7903.990307804438,1.3144837483397198
50,Chile,"15,617",22.0,"1,076,499",.,"24,346",.,"1,005,860","46,293","3,155","55,941","1,265","11,897,931","618,281","19,243,575",2021-04-15,12934282.0,7664226.0,5270056.0,2021/04/15,152.0,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",279.27,252.756,307.938,2020.0,.,.,Los Rios,2021-04-17 04:20:40,-40.231,-72.3311,31270,346,29369.0,1555.0,"Los Rios, Chile",8125.51807648433,1.1064918452190595
